"cnty_fips","HPT","Median_HH_Income","Pct_Poverty","Pct_Uninsured","PopPerPCP","Total_CVD","Urban_Rural","Ru_Urb","Population","BlackMenPct","BlackWomenPct","WhiteMenPct","WhiteWomenPct","RaceGroup","Hospital_Count","Cluster","PM25","PM25_Threshold","PM25_above_9","gam_fit","gam_se","piecewise_fit","Median_HH_Income_K","current_hpt","PM25_reduced"
"26001",44.6,54000,12.9,8.4,2,561.1,6.1,"Rural",8921,0.3,0.2,48,46.4,"White",0,3,4.88,"Below 9 µg/m³",0,42.1603045335662,0.595504489419697,41.7841667695407,54,41.0749301386296,4.88
"26003",39.9,59000,11.3,5.8,1.3,442,4.9,"Rural",7267,9.5,0,45.1,39.8,"White",1,3,3.92,"Below 9 µg/m³",0,38.467236252876,0.664785948581191,39.029332297478,59,40.0259549234836,3.92
"26005",34.9,76000,9.8,6.2,4.8,422.9,7,"Urban",91800,0.6,0.4,44.2,44.1,"White",1,2,5.6,"Below 9 µg/m³",0,34.3689759566488,0.818548707909503,35.3816688436291,76,34.3967430447339,5.6
"26007",39.4,54000,15.6,6.4,1.3,551.8,6.1,"Rural",23538,0.5,0.2,47.1,48.1,"White",1,3,4.88,"Below 9 µg/m³",0,38.9711915284839,0.631236840736404,38.848186916468,54,40.2290561063279,4.88
"26009",38.6,72000,9.3,7.6,1.5,453.4,6,"Rural",19581,0.3,0.3,47,47.3,"White",0,2,4.8,"Below 9 µg/m³",0,37.3181782079742,0.734792658167738,37.7644357262513,72,36.6776816370037,4.8
"26011",41.7,54000,13.6,7.6,2.5,551.1,6.7,"Rural",12274,0.2,0.2,48.5,45.9,"White",1,3,5.36,"Below 9 µg/m³",0,41.8101303378967,0.606525067239165,41.4407947707175,54,40.3498722192692,5.36
"26013",39.7,52000,14.2,8,1.4,429.8,4.9,"Rural",6840,8.9,0.3,39,34,"White",1,3,3.92,"Below 9 µg/m³",0,40.9284583692494,0.588033696831808,40.7858000078126,52,41.2346779973225,3.92
"26015",34.2,71000,8.5,5.7,3.3,455.4,8.4,"Urban",48888,0.3,0.3,47.3,46.6,"White",1,2,6.72,"Below 9 µg/m³",0,37.0372574137094,0.826907934844785,36.6185634830341,71,35.9795942433461,6.72
"26017",38.3,56000,14.3,6,2.2,536.4,6.8,"Urban",83180,0.8,0.6,44.4,46.4,"White",1,3,5.44,"Below 9 µg/m³",0,36.8273846348625,0.664644161386597,36.9526328513318,56,39.3469366279383,5.44
"26019",38.3,66000,9.9,6.7,1.7,415.5,6,"Rural",14942,0.5,0.3,46.1,46.7,"White",1,2,4.8,"Below 9 µg/m³",0,38.4033695642066,0.606043051835065,38.7858177329835,66,38.3393534881041,4.8
"26021",37.1,62000,15,7.4,1.3,560.1,8.6,"Urban",120807,5.9,7,37.8,39.1,"Black",2,1,6.88,"Below 9 µg/m³",0,35.7081871402467,0.61920582445869,35.5464520046616,62,35.9290010413223,6.88
"26023",38.4,64000,16.3,8.1,2.8,474.2,8.4,"Urban",34384,2.3,0.1,46,44.2,"White",1,3,6.72,"Below 9 µg/m³",0,35.3227752065778,0.739613608002166,35.5708386063514,64,35.7209849132163,6.72
"26025",37.5,60000,13.8,6.6,1.7,515.7,8.5,"Urban",103304,4.7,4.9,38.6,41,"White",2,1,6.8,"Below 9 µg/m³",0,36.763092283892,0.529383705835624,36.5199339426641,60,37.1420835020786,6.8
"26027",39.4,66000,12.1,7.2,4.7,487.2,8.6,"Urban",41068,2.7,2.2,43.3,43.2,"White",1,2,6.88,"Below 9 µg/m³",0,37.5150984872665,0.637524188848365,37.9156729712246,66,36.2550507884985,6.88
"26029",37.4,71000,8.7,6.4,1.2,452.3,5.9,"Rural",21420,0.4,0.2,46.7,46.8,"White",1,2,4.72,"Below 9 µg/m³",0,37.2066068471266,0.724983002393023,37.4879550100243,71,37.2106022384414,4.72
"26031",40.9,61000,12,8.5,1.8,492,5.7,"Rural",21664,0.8,0.1,45.7,45.6,"White",0,3,4.56,"Below 9 µg/m³",0,39.6037558277413,0.609700564818817,40.0943412012032,61,39.2835316308378,4.56
"26033",36.7,59000,13.4,7.8,1.4,431.9,5.9,"Rural",30106,5.8,0.3,37.5,32.7,"White",1,3,4.72,"Below 9 µg/m³",0,38.9007665312362,0.51949028670476,39.3523175534866,59,39.4238881011724,4.72
"26035",42.3,48000,17.2,8.2,3.5,659.5,6.7,"Rural",24886,0.5,0.4,47.6,47.2,"White",1,3,5.36,"Below 9 µg/m³",0,43.4159250576592,0.738084604326114,42.2282848151367,48,41.044575105951,5.36
"26037",33.3,80000,9.1,4.4,3.3,450.8,8.3,"Urban",62002,0.7,1,44.2,45.4,"White",1,2,6.64,"Below 9 µg/m³",0,32.876199542722,0.735035910371043,33.0111209519239,80,32.8761515795158,6.64
"26039",40.8,58000,14.1,6.8,1.3,513.8,6,"Rural",10887,0.1,0.2,47.9,45.4,"White",1,3,4.8,"Below 9 µg/m³",0,38.2531590022797,0.559139714746331,38.6856228588088,58,39.503295713159,4.8
"26041",39.3,57000,12.5,7.3,1.2,490.5,5.6,"Rural",29669,0.1,0,46.1,46.8,"White",1,3,4.48,"Below 9 µg/m³",0,39.7334272066471,0.469532847671383,39.9129161827269,57,40.3656642544845,4.48
"26043",37.6,56000,13,5,1.4,428.5,5.6,"Rural",20818,0.6,0.4,47.5,47,"White",2,3,4.48,"Below 9 µg/m³",0,38.4001603581407,0.748932560259536,38.7957450986704,56,40.4630770344935,4.48
"26045",34.7,71000,9,5.4,3,479.8,8.4,"Urban",86664,3.1,3.5,40.6,42.6,"White",2,2,6.72,"Below 9 µg/m³",0,36.2350907632383,0.713038538870407,36.0078226335198,71,35.389208047586,6.72
"26047",35.8,70000,8.8,7.4,0.9,456.8,5.7,"Rural",27790,0.5,0.3,44.5,45.7,"White",1,2,4.56,"Below 9 µg/m³",0,37.8408259664533,0.78998397871001,38.0343286311695,70,37.4844742865089,4.56
"26049",39.7,57000,16.4,6.4,1.2,578.2,7.5,"Urban",315014,8.5,10.1,35.6,38,"Black",3,1,6,"Below 9 µg/m³",0,35.5665273277804,0.616944760613317,35.3532387683771,57,36.4666848066722,6
"26051",42.7,55000,13.9,7.6,6.4,575.7,6.8,"Urban",20668,0.2,0.2,47.9,47.2,"White",1,3,5.44,"Below 9 µg/m³",0,40.5728828439859,0.897886157975588,40.9322994517725,55,39.8347431328258,5.44
"26053",41.7,50000,16.8,6.8,1.2,445,5.3,"Rural",12206,1.5,0.2,47.5,44.6,"White",1,3,4.24,"Below 9 µg/m³",0,39.8272001374517,0.681682289591303,39.3201473065898,50,41.1024171998303,4.24
"26055",33,75000,9.5,5.4,0.8,450.8,6.2,"Rural",76543,0.5,0.2,45.5,47.6,"White",1,2,4.96,"Below 9 µg/m³",0,34.5359805848138,0.753824310497817,35.2131654842396,75,35.6138926490476,4.96
"26057",34.9,58000,12.3,5.8,2.1,551.7,7.6,"Urban",33529,6.5,0.3,43.7,41.6,"White",1,2,6.08,"Below 9 µg/m³",0,37.6287425033789,0.615698064805547,37.449508393602,58,38.7268758483738,6.08
"26059",38.3,60000,13.9,7.6,5.1,535.2,8.5,"Urban",35919,0.5,0.2,47.1,47.3,"White",1,3,6.8,"Below 9 µg/m³",0,39.0106429669056,0.644717292523534,39.1293439932327,60,37.7478146546192,6.8
"26061",31.7,56000,14.4,7.6,1.4,423.9,5.1,"Rural",30053,0.7,0.5,50,40.7,"White",2,3,4.08,"Below 9 µg/m³",0,38.9448586042911,0.538356021507145,39.3758912484404,56,39.9322516606784,4.08
"26063",40.2,50000,12,6.6,1.7,522.2,7.3,"Urban",25448,0.3,0.3,47.7,47.5,"White",3,3,5.84,"Below 9 µg/m³",0,41.4325141368459,1.1067446648479,39.9940560024348,50,41.45863584011,5.84
"26065",31.3,61000,16.3,6,0.9,456.8,7.1,"Urban",227119,5.3,5.8,34.3,36.8,"Black",2,1,5.68,"Below 9 µg/m³",0,33.2991618753553,0.768387566233247,33.7630506315111,61,36.1502637086739,5.68
"26067",33.6,74000,12.1,6.1,4,463.2,8.2,"Urban",52509,4.3,0.4,45.2,40.6,"White",1,2,6.56,"Below 9 µg/m³",0,33.4113676100749,0.729679961654219,34.5041061905156,74,33.8309557135145,6.56
"26069",43.1,46000,18.2,7.2,3.2,553.6,6.5,"Rural",21149,0.4,0.4,46.2,46.8,"White",1,3,5.2,"Below 9 µg/m³",0,42.86703301878,0.86616791901711,41.4909505451209,46,41.5600889294984,5.2
"26071",43.9,54000,12.8,7.7,1.5,423.4,5.3,"Rural",9597,0.4,0.3,48.1,46.4,"White",1,3,4.24,"Below 9 µg/m³",0,41.0298250205148,0.513487728051624,40.9408034598515,54,41.1089135445683,4.24
"26073",29.5,55000,19.4,7.8,2,544.1,7.2,"Urban",53733,1.4,1.2,41.5,44.2,"White",1,3,5.76,"Below 9 µg/m³",0,36.0944698372331,0.944994613078472,35.5574234993648,55,37.5590994975965,5.76
"26075",36.7,61000,13,6.1,2.3,546.5,8.6,"Urban",126798,4.7,2.7,42.7,42.4,"White",1,2,6.88,"Below 9 µg/m³",0,36.9058650509638,0.548763920475674,36.7731883198932,61,37.4466903383106,6.88
"26077",29.5,70000,12.2,5.1,1,429.6,7.3,"Urban",205498,4.8,5.4,38.3,40.5,"Black",2,2,5.84,"Below 9 µg/m³",0,31.9207864096484,0.695712839051768,32.9507017517464,70,34.5392212993296,5.84
"26079",39,59000,12.3,7,4.5,572.9,6,"Rural",14268,0.9,0.5,47.7,45.4,"White",1,3,4.8,"Below 9 µg/m³",0,40.7038026514312,0.616441899828668,41.4321484921487,59,39.718274365522,4.8
"26081",30.7,77000,10.7,6.4,1.1,441.1,8.1,"Urban",501784,4.4,4.5,37,38.5,"White",3,2,6.48,"Below 9 µg/m³",0,32.370711385406,0.680929940807644,32.7181489119217,77,32.7629795152454,6.48
"26083",41.1,57000,10.4,4.6,-1,402.4,4.8,"Rural",1775,0,0,49.9,45.9,"White",0,3,3.84,"Below 9 µg/m³",0,38.1000675732073,0.952525140054907,37.9507508881,57,40.9196160791565,3.84
"26085",46.8,49000,22.9,8,12.3,487.5,6.4,"Rural",10452,6.7,3.3,44.2,37.7,"White",0,3,5.12,"Below 9 µg/m³",0,44.7117307011045,1.81311348112912,44.2660920289353,49,38.8626773113235,5.12
"26087",35.6,73000,9.9,6.5,2.8,554.4,8.5,"Urban",70769,1.2,0,46.4,45.1,"White",1,2,6.8,"Below 9 µg/m³",0,35.4572276666352,0.593704324261813,35.4792514500728,73,35.0205086047311,6.8
"26089",38.1,89000,7.4,7.2,2.3,397.2,6.1,"Rural",18918,0.3,0.1,45.5,46.1,"White",0,2,4.88,"Below 9 µg/m³",0,34.8797415524754,1.11628749293172,34.2239807562176,89,32.0219721620683,4.88
"26091",37.3,67000,11.6,6.2,4.5,556.2,8.4,"Urban",78752,2,0.5,43.5,43.5,"White",1,2,6.72,"Below 9 µg/m³",0,36.6399944305473,0.60805122098585,37.1666053589403,67,36.2143925165835,6.72
"26093",32.4,101000,5,4.1,2,469.3,9.1,"Urban",154198,0.4,0.2,47.3,46.7,"White",1,2,7.28,"Above 9 µg/m³",0.0999999999999996,32.0800633039332,1.78362389721241,28.5398372454972,101,28.3861476455677,7.28
"26095",39.3,49000,16.1,7.1,0.8,452.1,4.8,"Rural",4419,11.3,0.1,35.5,44.7,"Black",1,3,3.84,"Below 9 µg/m³",0,40.3149257623974,0.74911997635732,39.7593088931993,49,41.5865193577382,3.84
"26097",41.8,57000,14.3,11.6,1.6,462.9,5.5,"Rural",9191,2.2,1.9,37.5,36.3,"White",1,3,4.4,"Below 9 µg/m³",0,41.536180733911,1.17035569862463,41.5693710343011,57,39.5309892291847,4.4
"26099",36.2,74000,9.8,6.1,1.8,505.4,7.3,"Urban",695919,5,6.4,38.6,40.1,"Black",3,2,5.84,"Below 9 µg/m³",0,33.6506175590398,0.618379556559733,34.1068562348572,74,33.9224687798841,5.84
"26101",38.8,56000,13,6.9,2,471.2,5,"Rural",20804,3.1,0.4,45,43.8,"White",1,3,4,"Below 9 µg/m³",0,39.5672896211493,0.524907027591474,40.0643888186137,56,40.3724252741956,4
"26103",33.4,62000,11.4,5.5,0.9,429.9,5.3,"Rural",54627,1.5,0.2,46.3,45.9,"White",2,2,4.24,"Below 9 µg/m³",0,37.0351798792003,0.665334075870945,37.8118511593478,62,39.0948775478765,4.24
"26105",40.5,64000,10.2,6.5,1.3,466.4,6.6,"Rural",23324,0.7,0.3,45.3,46.7,"White",1,3,5.28,"Below 9 µg/m³",0,38.9495707760773,0.673688143512512,38.989363694008,64,38.4282742938468,5.28
"26107",34.3,56000,20.4,6.5,2.1,545.1,7,"Urban",32314,1.6,0.8,46,45.2,"White",1,3,5.6,"Below 9 µg/m³",0,34.3435684441617,1.14167554690281,34.0513936074695,56,37.1871659217928,5.6
"26109",40.3,51000,12.2,6.3,2.9,517,6.5,"Rural",19256,0.4,0.1,48.1,45.5,"White",0,3,5.2,"Below 9 µg/m³",0,43.2888786094965,0.806825254601342,42.5018459888501,51,41.9391025121729,5.2
"26111",33.5,78000,8.9,4.9,1,407.8,7.5,"Urban",65896,0.9,0.5,44.8,46.6,"White",1,2,6,"Below 9 µg/m³",0,32.2513775487508,0.680024111267768,32.3305437857042,78,33.6438099617591,6
"26113",38.7,59000,13.3,8.5,5,551,5.8,"Rural",11723,0.2,0.3,47.4,45.8,"White",0,3,4.64,"Below 9 µg/m³",0,41.1095335653295,0.664959378604312,41.999578032111,59,39.4656747645756,4.64
"26115",37.2,72000,9.6,4.8,2.8,504.8,9.7,"Urban",122221,1,1.1,45.1,46.1,"White",1,2,7.76,"Above 9 µg/m³",0.699999999999999,35.8243368906676,0.851776165024907,36.2484063345604,72,36.4203643784417,7.76
